,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,tomatoImage,tomatoReviews
10,"Clint Eastwood, Hilary Swank, Morgan Freeman, Jay Baruchel",Won 4 Oscars. Another 63 wins & 78 nominations.,"$100,422,786.00",USA,12 Jul 2005,Clint Eastwood,"Drama, Sport","English, Irish",86,A determined woman works with a hardened boxing trainer to become a professional.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,28 Jan 2005,True,132 min,Million Dollar Baby,movie,http://milliondollarbabymovie.warnerbros.com/,"Paul Haggis (screenplay), F.X. Toole (stories)",2004,tt0405159,8.1,"504,149",certified,253
11,"Vince Vaughn, Christine Taylor, Ben Stiller, Rip Torn",2 wins & 8 nominations.,"$114,173,690.00","USA, Germany",07 Dec 2004,Rawson Marshall Thurber,"Comedy, Sport","English, German",55,A group of misfits enter a Las Vegas dodgeball tournament in order to save their cherished local gym from the onslaught of a corporate health fitness chain.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwMzE2MjM4MV5BMl5BanBnXkFtZTYwNjA1OTY3._V1_SX300.jpg,20th Century Fox,PG-13,18 Jun 2004,True,92 min,Dodgeball: A True Underdog Story,movie,http://www.dodgeballmovie.com/,Rawson Marshall Thurber,2004,tt0364725,6.7,"191,276",fresh,162
12,"Anthony Hopkins, David Bedella, Jessie Kamm, Angelina Jolie",4 wins & 12 nominations.,"$34,264,081.00","Germany, USA, Netherlands, France, UK, Italy",02 Aug 2005,Oliver Stone,"Action, Adventure, Biography",English,39,"Alexander, the King of Macedonia and one of the greatest military leaders in the history of warfare, conquers much of the known world.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1NDQ3OTY2NDVeQTJeQWpwZ15BbWU3MDI5MDc0MzM@._V1_SX300.jpg,Warner Bros. Pictures,R,24 Nov 2004,True,175 min,Alexander,movie,http://alexanderthemovie.warnerbros.com/,"Oliver Stone, Christopher Kyle, Laeta Kalogridis",2004,tt0346491,5.5,"141,834",rotten,195
13,"Gerard Butler, Emmy Rossum, Patrick Wilson, Miranda Richardson",Nominated for 3 Oscars. Another 6 wins & 35 nominations.,"$51,193,556.00","UK, USA",03 May 2005,Joel Schumacher,"Drama, Musical, Romance","English, Italian",40,A young soprano becomes the obsession of a disfigured musical genius who lives beneath the Paris Opéra House.,https://images-na.ssl-images-amazon.com/images/M/MV5BNDczNzg4OTM3MV5BMl5BanBnXkFtZTcwOTQzMTEzMw@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,22 Dec 2004,True,143 min,The Phantom of the Opera,movie,http://phantomthemovie.warnerbros.com/,"Gaston Leroux (novel), Andrew Lloyd Webber (book), Andrew Lloyd Webber (screenplay), Joel Schumacher (screenplay)",2004,tt0293508,7.3,"99,399",rotten,167
14,"Denzel Washington, Dakota Fanning, Radha Mitchell, Christopher Walken",1 win & 7 nominations.,"$77,600,000.00","USA, UK",14 Sep 2004,Tony Scott,"Action, Crime, Drama","English, Spanish",47,"In Mexico City, a former assassin swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",https://images-na.ssl-images-amazon.com/images/M/MV5BODFlMmEwMDgtYjhmZi00ZTE5LTk2NWQtMWE1Y2M0NjkzOGYxXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,20th Century Fox,R,23 Apr 2004,True,146 min,Man on Fire,movie,http://www.manonfiremovie.com/,"A.J. Quinnell (novel), Brian Helgeland (screenplay)",2004,tt0328107,7.7,"276,283",rotten,161
15,"Vivica A. Fox, Ambrosia Kelley, Michael Parks, James Parks",Nominated for 2 Golden Globes. Another 21 wins & 72 nominations.,N/A,USA,10 Aug 2004,Quentin Tarantino,"Action, Crime, Drama","English, Cantonese, Mandarin, Spanish",83,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd and the treacherous, one-eyed Elle.",https://images-na.ssl-images-amazon.com/images/M/MV5BNjA2MjZiNmQtYmM0My00NmQwLWE2OGMtZGU0MWYzODI5YjY1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,Miramax Films,R,16 Apr 2004,True,137 min,Kill Bill: Vol. 2,movie,http://www.kill-bill.com/,"Quentin Tarantino, Quentin Tarantino (character The Bride), Uma Thurman (character The Bride)",2004,tt0378194,8.0,"532,044",certified,232
16,"Bruno Ganz, Alexandra Maria Lara, Corinna Harfouch, Ulrich Matthes",Nominated for 1 Oscar. Another 21 wins & 25 nominations.,"$5,475,810.00","Germany, Austria, Italy",02 Aug 2005,Oliver Hirschbiegel,"Biography, Drama, History","German, Russian, Hungarian",82,"Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1OTI1MjE2Nl5BMl5BanBnXkFtZTcwMTEwMzc4NA@@._V1_SX300.jpg,Newmarket Films,R,08 Apr 2005,True,156 min,Downfall,movie,http://www.downfallthefilm.com/,"Bernd Eichinger (screenplay), Joachim Fest (book), Traudl Junge (book), Melissa Müller (book)",2004,tt0363163,8.3,"258,920",certified,136
17,"Jim Caviezel, Maia Morgenstern, Christo Jivkov, Francesco De Vito",Nominated for 3 Oscars. Another 25 wins & 20 nominations.,"$368,000,000.00",USA,31 Aug 2004,Mel Gibson,Drama,"Aramaic, Latin, Hebrew",47,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2NDY5NDAwMV5BMl5BanBnXkFtZTcwMTcwMDUyMQ@@._V1_SX300.jpg,Newmarket Film Group,R,25 Feb 2004,True,127 min,The Passion of the Christ,movie,http://www.thepassionofthechrist.com/skip.html,"Benedict Fitzgerald (screenplay), Mel Gibson (screenplay)",2004,tt0335345,7.1,"182,751",rotten,268
18,"Julia Roberts, Jude Law, Natalie Portman, Clive Owen",Nominated for 2 Oscars. Another 19 wins & 45 nominations.,"$33,987,757.00","USA, UK",29 Mar 2005,Mike Nichols,"Drama, Romance",English,65,The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.,https://images-na.ssl-images-amazon.com/images/M/MV5BN2I0Y2JmZjQtNjEyOC00ODhkLWE5YWUtOWFkOGQwMGYyODRiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Sony Pictures,R,03 Dec 2004,True,104 min,Closer,movie,http://sonypictures.com/movies/closer/,"Patrick Marber (play), Patrick Marber (screenplay)",2004,tt0376541,7.3,"172,366",fresh,203
19,"Christian Bale, Jennifer Jason Leigh, Aitana Sánchez-Gijón, John Sharian",7 wins & 14 nominations.,"$939,471.00",Spain,07 Jun 2005,Brad Anderson,"Drama, Thriller","English, Spanish",61,An industrial worker who hasn't slept in a year begins to doubt his own sanity.,https://images-na.ssl-images-amazon.com/images/M/MV5BNjk1NzBlY2YtNjJmNi00YTVmLWI2OTgtNDUxNDE5NjUzZmE0XkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,Paramount Classics,R,03 Dec 2004,True,101 min,The Machinist,movie,http://www.machinistmovie.com,Scott Kosar,2004,tt0361862,7.7,"291,697",certified,141
20,"Leonardo DiCaprio, Cate Blanchett, Kate Beckinsale, John C. Reilly",Won 5 Oscars. Another 74 wins & 119 nominations.,"$102,563,679.00","Germany, USA",24 May 2005,Martin Scorsese,"Biography, Drama, History",English,77,A biopic depicting the early years of legendary director and aviator Howard Hughes' career from the late 1920s to the mid-1940s.,https://images-na.ssl-images-amazon.com/images/M/MV5BZTYzMjA2M2EtYmY1OC00ZWMxLThlY2YtZGI3MTQzOWM4YjE3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Miramax,PG-13,25 Dec 2004,True,170 min,The Aviator,movie,http://www.miramax.com/movie/the-aviator,John Logan,2004,tt0338751,7.5,"274,370",certified,214
21,"Shawn Wayans, Marlon Wayans, Jaime King, Frankie Faison",2 wins & 9 nominations.,"$69,148,997.00",USA,26 Oct 2004,Keenen Ivory Wayans,"Comedy, Crime",English,41,Two disgraced FBI agents go way undercover in an effort to protect hotel heiresses the Wilson Sisters from a kidnapping plot.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3OTg2OTM3OV5BMl5BanBnXkFtZTYwNzY5OTA3._V1_SX300.jpg,Columbia Pictures,PG-13,23 Jun 2004,True,109 min,White Chicks,movie,http://www.sonypictures.com/movies/whitechicks,"Keenen Ivory Wayans (screenplay), Shawn Wayans (screenplay), Marlon Wayans (screenplay), Andrew McElfresh (screenplay), Michael Anthony Snowden (screenplay), Xavier Cook (screenplay), Keenen Ivory Wayans (story), Shawn Wayans (story), Marlon Wayans (story)",2004,tt0381707,5.5,"102,592",rotten,123
22,"Clive Owen, Ioan Gruffudd, Mads Mikkelsen, Joel Edgerton",4 wins & 8 nominations.,"$51,726,421.00","USA, UK, Ireland",21 Dec 2004,Antoine Fuqua,"Action, Adventure, Drama","English, Latin, Irish, Welsh, Scottish Gaelic",46,A demystified take on the tale of King Arthur and the Knights of the Round Table.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4MTk1NjI0OV5BMl5BanBnXkFtZTcwNDQxOTUyMQ@@._V1_SX300.jpg,Buena Vista Pictures,PG-13,07 Jul 2004,True,126 min,King Arthur,movie,http://kingarthur.movies.go.com/main.html,David Franzoni,2004,tt0349683,6.3,"140,508",rotten,185
23,"Ron Perlman, John Hurt, Selma Blair, Rupert Evans",3 wins & 22 nominations.,"$59,035,104.00",USA,27 Jul 2004,Guillermo del Toro,"Action, Fantasy, Horror","English, Russian",72,"A demon, raised from infancy after being conjured by and rescued from the Nazis, grows up to become a defender against the forces of darkness.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTc1ZWY0ZTEtZTVmNi00MTg0LTg4NmQtZTI4OWNiMmQ0MWZkXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,Sony Pictures,PG-13,02 Apr 2004,True,122 min,Hellboy,movie,http://www.sonypictures.com/movies/hellboy/,"Guillermo del Toro (screenplay), Guillermo del Toro (screen story), Peter Briggs (screen story), Mike Mignola (comic books)",2004,tt0167190,6.8,"252,020",certified,199
24,"Dennis Quaid, Jake Gyllenhaal, Emmy Rossum, Dash Mihok",Won 1 BAFTA Film Award. Another 5 wins & 11 nominations.,"$186,583,549.00",USA,12 Oct 2004,Roland Emmerich,"Action, Adventure, Sci-Fi","English, Japanese, French, Arabic, Spanish",47,"Jack Hall, paleoclimatologist, must make a daring trek across America to reach his son, trapped in the cross-hairs of a sudden international storm which plunges the planet into a new Ice Age.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1NTA3NzMwOV5BMl5BanBnXkFtZTcwNzEzMTEzMw@@._V1_SX300.jpg,20th Century Fox,PG-13,28 May 2004,True,124 min,The Day After Tomorrow,movie,http://www.thedayaftertomorrow.com/,"Roland Emmerich (story), Roland Emmerich (screenplay), Jeffrey Nachmanoff (screenplay)",2004,tt0319262,6.4,"344,085",rotten,213
25,"Jon Heder, Jon Gries, Aaron Ruell, Efren Ramirez",10 wins & 22 nominations.,"$44,478,018.00",USA,21 Dec 2004,Jared Hess,Comedy,English,64,"A listless and alienated teenager decides to help his new friend win the class presidency in their small western high school, while he must deal with his bizarre family life back home.",https://images-na.ssl-images-amazon.com/images/M/MV5BNjYwNTA3MDIyMl5BMl5BanBnXkFtZTYwMjIxNjA3._V1_SX300.jpg,Fox Searchlight Pictures,PG,27 Aug 2004,True,96 min,Napoleon Dynamite,movie,http://www2.foxsearchlight.com/napoleondynamite/,"Jared Hess, Jerusha Hess",2004,tt0374900,6.9,"165,652",fresh,170
26,"A. Russell Andrews, Omar Avila, James Carpinello, Mark Collie",1 win & 5 nominations.,"$33,682,273.00","USA, Germany",07 Sep 2004,Jonathan Hensleigh,"Action, Crime, Drama",English,33,An undercover FBI agent becomes a vigilante assassin and sets out to unleash his wrath upon the corrupt businessman who slaughtered his entire family at a reunion.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5NjcwMTQxMV5BMl5BanBnXkFtZTcwODg5ODkwNQ@@._V1_SX300.jpg,Lions Gate Films,R,16 Apr 2004,True,124 min,The Punisher,movie,http://www.punisherthemovie.com/,"Jonathan Hensleigh, Michael France",2004,tt0330793,6.5,"127,422",rotten,168
27,"Chieko Baishô, Takuya Kimura, Akihiro Miwa, Tatsuya Gashûin",Nominated for 1 Oscar. Another 15 wins & 18 nominations.,"$4,520,887.00",Japan,07 Mar 2006,Hayao Miyazaki,"Animation, Adventure, Family",Japanese,80,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",https://images-na.ssl-images-amazon.com/images/M/MV5BZTRhY2QwM2UtNWRlNy00ZWQwLTg3MjktZThmNjQ3NTdjN2IxXkEyXkFqcGdeQXVyMzg2MzE2OTE@._V1_SX300.jpg,Buena Vista,PG,17 Jun 2005,True,119 min,Howl's Moving Castle,movie,http://www.howl-movie.com/,"Hayao Miyazaki (screenplay), Diana Wynne Jones (novel)",2004,tt0347149,8.2,"227,037",certified,171
28,"Tom Cruise, Jamie Foxx, Jada Pinkett Smith, Mark Ruffalo",Nominated for 2 Oscars. Another 22 wins & 64 nominations.,"$100,003,492.00",USA,14 Dec 2004,Michael Mann,"Crime, Drama, Thriller","English, Spanish",71,A cab driver finds himself the hostage of an engaging contract killer as he makes his rounds from hit to hit during one night in Los Angeles.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE3NjM5OTMxMV5BMl5BanBnXkFtZTcwOTIzMTQyMw@@._V1_SX300.jpg,Paramount Pictures,R,06 Aug 2004,True,120 min,Collateral,movie,http://www.collateral-themovie.com/,Stuart Beattie,2004,tt0369339,7.6,"301,838",certified,228
29,"Anne Hathaway, Julie Andrews, Hector Elizondo, John Rhys-Davies",1 win & 2 nominations.,"$95,111,012.00",USA,14 Dec 2004,Garry Marshall,"Comedy, Family, Romance","English, Greek, French, Spanish",43,"Now settled in Genovia, Princess Mia faces a new revelation: she is being primed for an arranged marriage to an English suitor.",https://images-na.ssl-images-amazon.com/images/M/MV5BODljNTU2ZGMtMWI5Yy00MGNkLTg2MTktN2NhZjY0NDcwMDhiL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Walt Disney Pictures [us],G,11 Aug 2004,True,113 min,The Princess Diaries 2: Royal Engagement,movie,http://disney.go.com/disneypictures/diaries2/index.html,"Meg Cabot (characters), Gina Wendkos (story), Shonda Rhimes (story), Shonda Rhimes (screenplay)",2004,tt0368933,5.7,"56,854",rotten,115
30,"Leigh Whannell, Cary Elwes, Danny Glover, Ken Leung",8 wins & 10 nominations.,"$55,100,000.00",USA,15 Feb 2005,James Wan,"Horror, Mystery, Thriller",English,46,"Two strangers awaken in a room with no recollection of how they got there or why, and soon discover they are pawns in a deadly game perpetrated by a notorious serial killer.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4MDYzNDE1OV5BMl5BanBnXkFtZTcwNDY2OTYwNA@@._V1_SX300.jpg,Lions Gate Films,R,29 Oct 2004,True,103 min,Saw,movie,http://www.sawmovie.com/,"Leigh Whannell, James Wan (story), Leigh Whannell (story)",2004,tt0387564,7.7,"310,735",rotten,181
31,"Ashton Kutcher, Melora Walters, Amy Smart, Elden Henson",1 win & 8 nominations.,"$57,200,000.00","USA, Canada",20 Jul 2007,"Eric Bress, J. Mackye Gruber","Sci-Fi, Thriller",English,30,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1ODkxNzg2N15BMl5BanBnXkFtZTYwMzQ2MTg2._V1_SX300.jpg,New Line Cinema,R,23 Jan 2004,True,113 min,The Butterfly Effect,movie,http://www.butterflyeffectmovie.com/,"J. Mackye Gruber, Eric Bress",2004,tt0289879,7.7,"370,845",rotten,170
32,"Simon Pegg, Kate Ashfield, Nick Frost, Lucy Davis",13 wins & 20 nominations.,"$13,464,388.00","UK, France",21 Dec 2004,Edgar Wright,"Comedy, Horror",English,76,"A man decides to turn his moribund life around by winning back his ex-girlfriend, reconciling his relationship with his mother, and dealing with an entire community that has returned from the dead to eat the living.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2NjA0NDk0NV5BMl5BanBnXkFtZTcwOTA0OTQzMw@@._V1_SX300.jpg,Focus Features,R,24 Sep 2004,True,99 min,Shaun of the Dead,movie,http://uip.co.uk/romzom/,"Simon Pegg, Edgar Wright",2004,tt0365748,8.0,"410,410",certified,201
33,"Milla Jovovich, Sienna Guillory, Oded Fehr, Thomas Kretschmann",6 wins & 3 nominations.,"$50,600,000.00","Germany, France, UK, Canada, USA",04 Sep 2007,Alexander Witt,"Action, Horror, Sci-Fi",English,35,"Alice awakes in Raccoon City, only to find it has become infested with zombies and monsters. With the help of Jill Valentine and Carlos Olivera, Alice must find a way out of the city before it is destroyed by a nuclear missile.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1NTUxMzk0Nl5BMl5BanBnXkFtZTcwNDQ1MDIzMw@@._V1_SX300.jpg,Sony Pictures,R,10 Sep 2004,True,94 min,Resident Evil: Apocalypse,movie,http://www.sonypictures.com/movies/residentevilapocalypse/,Paul W.S. Anderson,2004,tt0318627,6.2,"157,064",rotten,125
34,"Hugh Jackman, Kate Beckinsale, Richard Roxburgh, David Wenham",2 wins & 17 nominations.,N/A,"USA, Czech Republic",20 Sep 2005,Stephen Sommers,"Action, Adventure","English, Latin",35,The notorious monster hunter is sent to Transylvania to stop Count Dracula who is using Dr. Frankenstein's research and a werewolf for some sinister purpose.,https://images-na.ssl-images-amazon.com/images/M/MV5BODRmY2NhNDItOWViNi00OTIyLTk3YjYtYzY0YTFlMDg1YzQ0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,PG-13,07 May 2004,True,131 min,Van Helsing,movie,N/A,Stephen Sommers,2004,tt0338526,6.0,"203,912",N/A,N/A
35,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean",1 win & 9 nominations.,"$172,975,674.00",USA,03 May 2005,Jon Turteltaub,"Action, Adventure, Family","English, Spanish",39,A historian races to find the legendary Templar Treasure before a team of mercenaries.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3NTc4OTYxMF5BMl5BanBnXkFtZTcwMjk5NzUyMw@@._V1_SX300.jpg,Buena Vista,PG,19 Nov 2004,True,131 min,National Treasure,movie,http://www.nationaltreasure.com/,"Jim Kouf (screenplay), Cormac Wibberley (screenplay), Marianne Wibberley (screenplay), Jim Kouf (story), Oren Aviv (story), Charles Segars (story)",2004,tt0368891,6.9,"261,735",rotten,169
36,"Brad Pitt, Catherine Zeta-Jones, George Clooney, Ed Kross",3 wins & 8 nominations.,"$125,402,117.00",USA,12 Apr 2005,Steven Soderbergh,"Crime, Thriller","English, Dutch, French, Italian, Mandarin",58,Daniel Ocean recruits one more team member so he can pull off three major European heists in this sequel to Ocean's 11.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3NTIyMzczMF5BMl5BanBnXkFtZTYwMjgzNTg2._V1_SX300.jpg,Warner Bros. Pictures,PG-13,10 Dec 2004,True,125 min,Ocean's Twelve,movie,http://oceans12.warnerbros.com/,"George Nolfi, George Clayton Johnson (characters), Jack Golden Russell (characters)",2004,tt0349903,6.5,"294,141",rotten,178
37,"Scott Mechlowicz, Jacob Pitts, Kristin Kreuk, Cathy Meils",2 nominations.,N/A,"USA, Czech Republic",11 Jan 2005,"Jeff Schaffer, Alec Berg, David Mandel",Comedy,"English, French, German, Italian, Japanese",45,"Dumped by his girlfriend, a high school grad decides to embark on an overseas adventure in Europe with his friends.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxNjcxMDUxN15BMl5BanBnXkFtZTYwNjAxNTM3._V1_SX300.jpg,N/A,R,20 Feb 2004,True,93 min,EuroTrip,movie,N/A,"Alec Berg, David Mandel, Jeff Schaffer",2004,tt0356150,6.6,"166,803",N/A,N/A
