,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,tomatoImage,tomatoReviews,totalSeasons
10,"Tom Cruise, Rosamund Pike, Richard Jenkins, David Oyelowo",1 win & 4 nominations.,"$80,033,643.00",USA,07 May 2013,Christopher McQuarrie,"Action, Crime, Mystery",English,50,A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1NjUxMDI3OV5BMl5BanBnXkFtZTcwNjg1ODM3OA@@._V1_SX300.jpg,Paramount Pictures,PG-13,21 Dec 2012,True,130 min,Jack Reacher,movie,http://www.jackreachermovie.com/,"Lee Child (based on the book ""One Shot"" by), Christopher McQuarrie (written for the screen by)",2012,tt0790724,7.0,"243,091",fresh,171,
11,"Jonah Hill, Channing Tatum, Brie Larson, Dave Franco",11 wins & 18 nominations.,"$134,000,000.00",USA,26 Jun 2012,"Phil Lord, Christopher Miller","Action, Comedy, Crime",English,69,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3NzQ3OTg3NF5BMl5BanBnXkFtZTcwMjk5OTcxNw@@._V1_SX300.jpg,Sony Pictures,R,16 Mar 2012,True,110 min,21 Jump Street,movie,http://www.21jumpstreet-movie.com/site/,"Michael Bacall (screenplay), Michael Bacall (story), Jonah Hill (story), Patrick Hasburgh (television series), Stephen J. Cannell (television series)",2012,tt1232829,7.2,"423,135",certified,210,
12,"Matthew McConaughey, Channing Tatum, Olivia Munn, Alex Pettyfer",8 wins & 13 nominations.,"$113,709,992.00",USA,23 Oct 2012,Steven Soderbergh,"Comedy, Drama",English,72,"A male stripper teaches a younger performer how to party, pick up women, and make easy money.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzMDMzOTA5M15BMl5BanBnXkFtZTcwMjc4MTg4Nw@@._V1_SX300.jpg,Warner Bros. Pictures,R,29 Jun 2012,True,110 min,Magic Mike,movie,http://magicmikemovie.warnerbros.com/,Reid Carolin,2012,tt1915581,6.1,"112,120",certified,194,
13,"Ryan Gosling, Craig Van Hook, Eva Mendes, Olga Merediz",3 wins & 18 nominations.,"$21,300,000.00",USA,23 Jul 2013,Derek Cianfrance,"Crime, Drama, Thriller","English, Spanish",68,"A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child, a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjc1OTEwNjU4N15BMl5BanBnXkFtZTcwNzUzNDIwOQ@@._V1_SX300.jpg,Focus Features,R,19 Apr 2013,True,140 min,The Place Beyond the Pines,movie,http://focusfeatures.com/the_place_beyond_the_pines,"Derek Cianfrance (story), Ben Coccio (story), Derek Cianfrance (screenplay), Ben Coccio (screenplay), Darius Marder (screenplay)",2012,tt1817273,7.3,"196,211",certified,202,
14,"Bruce Willis, Edward Norton, Bill Murray, Frances McDormand",Nominated for 1 Oscar. Another 37 wins & 117 nominations.,"$45,507,865.00",USA,16 Oct 2012,Wes Anderson,"Adventure, Comedy, Drama",English,84,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTEwMTc3NDkzOTJeQTJeQWpwZ15BbWU3MDI4NTAwNzc@._V1_SX300.jpg,Focus Features,PG-13,29 Jun 2012,True,94 min,Moonrise Kingdom,movie,http://www.moonrisekingdom.com/,"Wes Anderson, Roman Coppola",2012,tt1748122,7.8,"248,975",certified,233,
15,"Logan Lerman, Dylan McDermott, Kate Walsh, Patrick de Ledebur",19 wins & 48 nominations.,"$14,900,000.00",USA,12 Feb 2013,Stephen Chbosky,"Drama, Romance",English,67,An introvert freshman is taken under the wings of two seniors who welcome him to the real world.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzIxOTQyODU1OV5BMl5BanBnXkFtZTcwMDQ4Mjg4Nw@@._V1_SX300.jpg,Lionsgate Films,PG-13,12 Oct 2012,True,102 min,The Perks of Being a Wallflower,movie,http://perks-of-being-a-wallflower.com/,"Stephen Chbosky (screenplay), Stephen Chbosky (book)",2012,tt1659337,8.0,"366,953",certified,153,
16,"Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes",Won 2 Oscars. Another 64 wins & 115 nominations.,"$299,300,000.00","UK, USA",11 Mar 2013,Sam Mendes,"Action, Adventure, Thriller",English,81,"Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDVhZmJiYWMtNmIzMC00ZWNiLTkzZDYtNGNlZmViMGM4OGExXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,MGM,PG-13,09 Nov 2012,True,143 min,Skyfall,movie,http://www.007.com,"Neal Purvis, Robert Wade, John Logan",2012,tt1074638,7.8,"540,218",certified,347,
17,"Shia LaBeouf, Tom Hardy, Jason Clarke, Guy Pearce",1 win & 8 nominations.,"$36,300,000.00",USA,27 Nov 2012,John Hillcoat,"Crime, Drama",English,58,"Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxNjUyNjUwN15BMl5BanBnXkFtZTcwMDgwOTIyOA@@._V1_SX300.jpg,The Weinstein Company,R,29 Aug 2012,True,116 min,Lawless,movie,http://lawless-film.com/,"Nick Cave (screenplay), Matt Bondurant (novel)",2012,tt1212450,7.3,"192,717",fresh,205,
18,"Anna Kendrick, Skylar Astin, Ben Platt, Brittany Snow",6 wins & 20 nominations.,"$61,100,000.00",USA,18 Dec 2012,Jason Moore,"Comedy, Music, Romance",English,66,"Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTcyMTMzNzE5N15BMl5BanBnXkFtZTcwNzg5NjM5Nw@@._V1_SX300.jpg,Universal Studios,PG-13,05 Oct 2012,True,112 min,Pitch Perfect,movie,http://www.pitchperfectmovie.com,"Kay Cannon (screenplay), Mickey Rapkin (based on the book by)",2012,tt1981677,7.2,"222,514",certified,142,
19,"Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver",Won 1 Oscar. Another 87 wins & 145 nominations.,"$132,088,910.00",USA,30 Apr 2013,David O. Russell,"Comedy, Drama, Romance",English,81,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2MTI5NzA3MF5BMl5BanBnXkFtZTcwODExNTc0OA@@._V1_SX300.jpg,The Weinstein Company,R,25 Dec 2012,True,122 min,Silver Linings Playbook,movie,http://silverliningsplaybookmovie.com/,"David O. Russell (screenplay), Matthew Quick (novel)",2012,tt1045658,7.8,"556,807",certified,230,
20,"Tom Hanks, Halle Berry, Jim Broadbent, Hugo Weaving",Nominated for 1 Golden Globe. Another 16 wins & 72 nominations.,"$22,100,000.00","Germany, USA, Hong Kong, Singapore",14 May 2013,"Tom Tykwer, Lana Wachowski, Lilly Wachowski","Drama, Sci-Fi","English, Spanish, Ukrainian",55,"An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTczMTgxMjc4NF5BMl5BanBnXkFtZTcwNjM5MTA2OA@@._V1_SX300.jpg,Warner Bros. Pictures,R,26 Oct 2012,True,172 min,Cloud Atlas,movie,http://www.cloudatlasmovie.com,"David Mitchell (novel), Lana Wachowski (written for the screen by), Tom Tykwer (written for the screen by), Lilly Wachowski (written for the screen by)",2012,tt1371111,7.5,"294,920",fresh,256,
21,"Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary",2 wins & 31 nominations.,"$262,030,663.00",USA,09 Nov 2012,Marc Webb,"Action, Adventure",English,66,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to solve the mystery of his parent's mysterious death.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjMyOTM4MDMxNV5BMl5BanBnXkFtZTcwNjIyNzExOA@@._V1_SX300.jpg,Sony Pictures,PG-13,03 Jul 2012,True,136 min,The Amazing Spider-Man,movie,http://www.theamazingspiderman.com/site/,"James Vanderbilt (screenplay), Alvin Sargent (screenplay), Steve Kloves (screenplay), James Vanderbilt (story), Stan Lee (based on the Marvel comic book by), Steve Ditko (based on the Marvel comic book by)",2012,tt0948470,7.0,"465,391",certified,307,
22,"Jason Clarke, Reda Kateb, Jessica Chastain, Kyle Chandler",Won 1 Oscar. Another 84 wins & 168 nominations.,"$95,720,716.00",USA,19 Mar 2013,Kathryn Bigelow,"Drama, History, Thriller","English, Arabic",95,"A chronicle of the decade-long hunt for al-Qaeda terrorist leader Osama bin Laden after the September 2001 attacks, and his death at the hands of the Navy S.E.A.L.s Team 6 in May 2011.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4OTUyNzcwN15BMl5BanBnXkFtZTcwMTQ1NDE3OA@@._V1_SX300.jpg,Columbia Pictures,R,11 Jan 2013,True,157 min,Zero Dark Thirty,movie,http://www.zerodarkthirty-movie.com/site/,Mark Boal,2012,tt1790885,7.4,"223,466",certified,265,
23,"Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman",Won 3 Oscars. Another 93 wins & 150 nominations.,"$136,019,448.00",USA,19 Feb 2013,Ben Affleck,"Biography, Drama, History","English, Persian, Arabic",86,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1980.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3MjI0MjM0NF5BMl5BanBnXkFtZTcwMTYxMTQ1OA@@._V1_SX300.jpg,Warner Bros. Pictures,R,12 Oct 2012,True,120 min,Argo,movie,http://argothemovie.warnerbros.com,"Chris Terrio (screenplay), Tony Mendez (based on a selection from ""The Master of Disguise"" by), Joshuah Bearman (based on the Wired Magazine article ""The Great Escape"" by)",2012,tt1024648,7.7,"473,162",certified,306,
24,"Joseph Gordon-Levitt, Bruce Willis, Emily Blunt, Paul Dano",15 wins & 43 nominations.,"$66,305,045.00","USA, China",31 Dec 2012,Rian Johnson,"Action, Crime, Drama","English, French",84,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg5NTA3NTg4NF5BMl5BanBnXkFtZTcwNTA0NDYzOA@@._V1_SX300.jpg,Sony Pictures,R,28 Sep 2012,True,119 min,Looper,movie,http://www.loopermovie.com/,Rian Johnson,2012,tt1276104,7.4,"446,221",certified,250,
25,"Kate Beckinsale, Stephen Rea, Michael Ealy, Theo James",1 win.,"$62,321,039.00","USA, Canada",08 May 2012,"Måns Mårlind, Björn Stein","Action, Fantasy, Horror","English, Russian",39,"When human forces discover the existence of the Vampire and Lycan clans, a war to eradicate both species commences. The vampire warrior Selene leads the battle against humankind.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMjc0ODk0OF5BMl5BanBnXkFtZTcwMTc5NDQwNw@@._V1_SX300.jpg,Screen Gems,R,20 Jan 2012,True,88 min,Underworld: Awakening,movie,http://entertheunderworld.com/,"Len Wiseman (screenplay), John Hlavin (screenplay), J. Michael Straczynski (screenplay), Allison Burnett (screenplay), Len Wiseman (story), John Hlavin (story), Kevin Grevioux (characters), Len Wiseman (characters), Danny McBride (characters)",2012,tt1496025,6.4,"123,830",rotten,72,
26,"James Franco, Selena Gomez, Vanessa Hudgens, Ashley Benson",11 wins & 26 nominations.,"$13,900,000.00",USA,09 Jul 2013,Harmony Korine,"Crime, Drama",English,63,"Four college girls hold up a restaurant in order to fund their spring break vacation. While partying, drinking, and taking drugs, they are arrested, only to be bailed out by a drug and arms dealer.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTlhODY3NmYtYTEzMy00ODI5LWI1YmItNmI2ZTgzN2I0MjBiXkEyXkFqcGdeQXVyNDgwOTMyMTI@._V1_SX300.jpg,A24 Films,R,22 Mar 2013,True,94 min,Spring Breakers,movie,http://www.springbreakersmovie.com/,Harmony Korine,2012,tt2101441,5.3,"112,578",fresh,173,
27,"Milla Jovovich, Sienna Guillory, Michelle Rodriguez, Aryana Engineer",2 wins & 5 nominations.,"$42,345,531.00","Germany, Canada, USA, France, UK",21 Dec 2012,Paul W.S. Anderson,"Action, Horror, Sci-Fi","English, American Sign Language",39,Alice fights alongside a resistance movement to regain her freedom from an Umbrella Corporation testing facility.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTA2NTkwNjUxNTZeQTJeQWpwZ15BbWU3MDE2OTMxMTg@._V1_SX300.jpg,Screen Gems,R,14 Sep 2012,True,96 min,Resident Evil: Retribution,movie,http://www.residentevil-movie.com,Paul W.S. Anderson,2012,tt1855325,5.4,"108,865",rotten,65,
28,"Michael Wikke, Steen Rasmussen, Hans Henrik Bærentsen",N/A,N/A,Denmark,N/A,N/A,N/A,Danish,N/A,N/A,N/A,N/A,N/A,24 Jan 1985,True,15 min,Robin Hat & Jagten på den forsvundne hat,series,N/A,N/A,1985–,tt0318240,7.2,16,N/A,N/A,N/A
29,"Ethan Hawke, Juliet Rylance, Fred Dalton Thompson, James Ransone",3 wins & 13 nominations.,"$48,100,000.00","USA, UK",19 Feb 2013,Scott Derrickson,"Horror, Mystery",English,53,Washed-up true-crime writer Ellison Oswalt finds a box of super 8 home movies that suggest the murder he is currently researching is the work of a serial killer whose work dates back to the 1960s.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5MTg1Njg0Ml5BMl5BanBnXkFtZTcwNzg2Mjc4Nw@@._V1_SX300.jpg,Lionsgate Films,R,12 Oct 2012,True,110 min,Sinister,movie,http://www.haveyouseenhim.com,"Scott Derrickson, C. Robert Cargill",2012,tt1922777,6.8,"166,039",fresh,134,
30,"Suraj Sharma, Irrfan Khan, Ayush Tandon, Gautam Belur",Won 4 Oscars. Another 79 wins & 125 nominations.,"$103,500,000.00","USA, Taiwan, UK, Canada",12 Mar 2013,Ang Lee,"Adventure, Drama, Fantasy","English, Tamil, French, Japanese, Hindi, Chinese",79,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTg2OTY2ODg5OF5BMl5BanBnXkFtZTcwODM5MTYxOA@@._V1_SX300.jpg,20th Century Fox,PG,21 Nov 2012,True,127 min,Life of Pi,movie,http://www.lifeofpimovie.com,"Yann Martel (novel), David Magee (screenplay)",2012,tt0454876,7.9,"463,028",certified,232,
31,"Matthew Macfadyen, Eric MacLennan, Kelly Macdonald, Theo Morrissey",Won 1 Oscar. Another 31 wins & 51 nominations.,"$12,802,907.00",UK,19 Feb 2013,Joe Wright,"Drama, Romance",English,63,"In late-19th-century Russian high society, St. Petersburg aristocrat Anna Karenina enters into a life-changing affair with the dashing Count Alexei Vronsky.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0NDgxNDg0NV5BMl5BanBnXkFtZTcwMjE4MzkwOA@@._V1_SX300.jpg,Focus Features,R,07 Sep 2012,True,129 min,Anna Karenina,movie,http://focusfeatures.com/anna_karenina,"Tom Stoppard (screenplay), Leo Tolstoy (novel)",2012,tt1781769,6.6,"74,120",fresh,178,
32,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt",Won 2 Oscars. Another 108 wins & 242 nominations.,"$129,477,447.00","USA, India",26 Mar 2013,Steven Spielberg,"Biography, Drama, History",English,86,"As the Civil War continues to rage, America's president struggles with continuing carnage on the battlefield as he fights with many inside his own cabinet on the decision to emancipate the slaves.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQzNzczMDUyNV5BMl5BanBnXkFtZTcwNjM2ODEzOA@@._V1_SX300.jpg,Dreamworks Pictures,PG-13,16 Nov 2012,True,150 min,Lincoln,movie,http://www.thelincolnmovie.com,"Tony Kushner (screenplay), Doris Kearns Goodwin (book)",2012,tt0443272,7.4,"204,559",certified,255,
33,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson",1 win & 7 nominations.,"$126,149,655.00","South Africa, Japan, USA",05 Jun 2012,Daniel Espinosa,"Action, Crime, Mystery","English, Afrikaans, Spanish",52,"A young CIA agent is tasked with looking after a fugitive in a safe house. But when the safe house is attacked, he finds himself on the run with his charge.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjI5ODkyMjA2Nl5BMl5BanBnXkFtZTcwNTcyNTgzNw@@._V1_SX300.jpg,Universal Pictures,R,10 Feb 2012,True,115 min,Safe House,movie,http://www.nooneissafe.com/,David Guggenheim,2012,tt1599348,6.8,"171,669",rotten,177,
34,"Mark Wahlberg, Mila Kunis, Seth MacFarlane, Joel McHale",Nominated for 1 Oscar. Another 13 wins & 26 nominations.,"$218,100,000.00",USA,11 Dec 2012,Seth MacFarlane,"Comedy, Fantasy","English, Ukrainian",62,"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1OTU0ODcxMV5BMl5BanBnXkFtZTcwOTMxNTUwOA@@._V1_SX300.jpg,Universal Pictures,R,29 Jun 2012,True,106 min,Ted,movie,http://www.tedisreal.com/,"Seth MacFarlane (screenplay), Alec Sulkin (screenplay), Wellesley Wild (screenplay), Seth MacFarlane (story by)",2012,tt1637725,7.0,"487,927",fresh,204,
35,"Kristen Connolly, Chris Hemsworth, Anna Hutchison, Fran Kranz",18 wins & 33 nominations.,"$42,043,633.00",USA,18 Sep 2012,Drew Goddard,Horror,"English, Japanese",72,"Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTUxNzYyMjg2N15BMl5BanBnXkFtZTcwMTExNzExNw@@._V1_SX300.jpg,Lionsgate Films,R,13 Apr 2012,True,95 min,The Cabin in the Woods,movie,http://discoverthecabininthewoods.com/,"Joss Whedon, Drew Goddard",2012,tt1259521,7.0,"288,969",certified,258,
36,"Jeremy Renner, Scott Glenn, Stacy Keach, Edward Norton",1 win & 11 nominations.,"$113,165,635.00",USA,11 Dec 2012,Tony Gilroy,"Action, Adventure, Mystery","English, Russian, Filipino, Ukrainian",61,"An expansion of the universe from Robert Ludlum's novels, centered on a new hero whose stakes have been triggered by the events of the previous three films.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4Njk3MDM1Nl5BMl5BanBnXkFtZTcwODgyOTMxOA@@._V1_SX300.jpg,Universal Pictures,PG-13,10 Aug 2012,True,135 min,The Bourne Legacy,movie,http://www.thebournelegacy.com/,"Tony Gilroy (screenplay), Dan Gilroy (screenplay), Tony Gilroy (story), Robert Ludlum (inspired by ""The Bourne Series"" created by)",2012,tt1194173,6.7,"241,885",rotten,219,
