,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,tomatoImage,tomatoReviews
0,"Sunny Pawar, Abhishek Bharate, Priyanka Bose, Khushi Solanki",Nominated for 6 Oscars. Another 30 wins & 66 nominations.,N/A,"Australia, USA, UK",N/A,Garth Davis,Drama,"English, Bengali, Hindi",69,"A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3NjkzNjg2MF5BMl5BanBnXkFtZTgwMDkyMzgzMDI@._V1_SX300.jpg,N/A,PG-13,06 Jan 2017,True,118 min,Lion,movie,N/A,"Saroo Brierley (adapted from the book ""A Long Way Home"" by), Luke Davies (screenplay)",2016,tt3741834,8.0,"43,208",N/A,N/A
1,"Andrew Garfield, Richard Pyros, Jacob Warner, Milo Gibson",Nominated for 6 Oscars. Another 36 wins & 73 nominations.,"$65,949,727.00","Australia, USA",21 Feb 2017,Mel Gibson,"Drama, History, War","English, Japanese",71,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people, and becomes the first man in American history to receive the Medal of Honor without firing a shot.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjQ1NjM3MTUxNV5BMl5BanBnXkFtZTgwMDc5MTY5OTE@._V1_SX300.jpg,Summit Entertainment,R,04 Nov 2016,True,139 min,Hacksaw Ridge,movie,http://www.hacksawridge.movie/,"Robert Schenkkan (screenplay), Andrew Knight (screenplay)",2016,tt2119532,8.4,"74,669",certified,219
2,"Mahershala Ali, Shariff Earp, Duan Sanderson, Alex R. Hibbert",Nominated for 8 Oscars. Another 162 wins & 226 nominations.,"$20,362,531.00",USA,N/A,Barry Jenkins,Drama,English,99,"A timeless story of human self-discovery and connection, Moonlight chronicles the life of a young black man from childhood to adulthood as he struggles to find his place in the world while growing up in a rough neighborhood of Miami.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzQxNTIyODAxMV5BMl5BanBnXkFtZTgwNzQyMDA3OTE@._V1_SX300.jpg,A24 Films,R,18 Nov 2016,True,111 min,Moonlight,movie,http://moonlight.movie/,"Barry Jenkins (screenplay), Tarell Alvin McCraney (story by)",2016,tt4975722,8.1,"31,092",certified,237
3,"Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg",Nominated for 8 Oscars. Another 32 wins & 186 nominations.,"$99,406,467.00",USA,14 Feb 2017,Denis Villeneuve,"Drama, Mystery, Sci-Fi","English, Russian, Mandarin",81,"When twelve mysterious spacecraft appear around the world, linguistics professor Louise Banks is tasked with interpreting the language of the apparent alien visitors.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTExMzU0ODcxNDheQTJeQWpwZ15BbWU4MDE1OTI4MzAy._V1_SX300.jpg,21 Laps Entertainment,PG-13,11 Nov 2016,True,116 min,Arrival,movie,http://www.arrivalmovie.com/,"Eric Heisserer (screenplay), Ted Chiang (based on the story ""Story of Your Life"" written by)",2016,tt2543164,8.1,"204,081",certified,302
4,"James McAvoy, Anya Taylor-Joy, Betty Buckley, Haley Lu Richardson",1 nomination.,"$77,385,530.00",USA,N/A,M. Night Shyamalan,"Horror, Thriller",English,62,"Three girls are kidnapped by a man with a diagnosed 23 distinct personalities, and must try and escape before the apparent emergence of a frightful new 24th.",https://images-na.ssl-images-amazon.com/images/M/MV5BZTJiNGM2NjItNDRiYy00ZjY0LTgwNTItZDBmZGRlODQ4YThkL2ltYWdlXkEyXkFqcGdeQXVyMjY5ODI4NDk@._V1_SX300.jpg,Universal Pictures,PG-13,20 Jan 2017,True,117 min,Split,movie,http://www.splitmovie.com/,M. Night Shyamalan,2016,tt4972582,7.5,"42,704",certified,183
5,"Matt Damon, Tian Jing, Willem Dafoe, Andy Lau",N/A,N/A,"China, USA",N/A,Yimou Zhang,"Action, Adventure, Fantasy","English, Mandarin, Ukrainian",46,European mercenaries searching for black powder become embroiled in the defense of the Great Wall of China against a horde of monstrous creatures.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3MjAzOTQxNF5BMl5BanBnXkFtZTgwOTc5OTY1OTE@._V1_SX300.jpg,Universal Pictures,PG-13,17 Feb 2017,True,103 min,The Great Wall,movie,http://www.thegreatwallmovie.com/,"Carlo Bernard (screenplay), Doug Miro (screenplay), Tony Gilroy (screenplay), Max Brooks (story by), Edward Zwick (story by), Marshall Herskovitz (story by)",2016,tt2034800,6.3,"12,846",rotten,23
6,"Ryan Gosling, Emma Stone, Amiée Conn, Terry Walters",Nominated for 14 Oscars. Another 153 wins & 204 nominations.,"$118,306,924.00",USA,N/A,Damien Chazelle,"Comedy, Drama, Musical",English,93,A jazz pianist falls for an aspiring actress in Los Angeles.,https://images-na.ssl-images-amazon.com/images/M/MV5BMzUzNDM2NzM2MV5BMl5BanBnXkFtZTgwNTM3NTg4OTE@._V1_SX300.jpg,Liongate Films,PG-13,25 Dec 2016,True,128 min,La La Land,movie,http://www.lalaland.movie/,Damien Chazelle,2016,tt3783958,8.5,"165,257",certified,323
7,"Amy Adams, Jake Gyllenhaal, Michael Shannon, Aaron Taylor-Johnson",Nominated for 1 Oscar. Another 14 wins & 126 nominations.,"$10,639,114.00",USA,N/A,Tom Ford,"Drama, Thriller",English,67,"A wealthy art gallery owner is haunted by her ex-husband's novel, a violent thriller she interprets as a symbolic revenge tale.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwMzMwMzgxNl5BMl5BanBnXkFtZTgwMTA0MTUzMDI@._V1_SX300.jpg,Focus Features,R,09 Dec 2016,True,116 min,Nocturnal Animals,movie,N/A,"Tom Ford (screenplay), Austin Wright (novel)",2016,tt4550098,7.6,"85,849",certified,221
8,"Casey Affleck, Ben O'Brien, Kyle Chandler, Richard Donelly",Nominated for 6 Oscars. Another 104 wins & 223 nominations.,"$41,567,950.00",USA,21 Feb 2017,Kenneth Lonergan,Drama,English,96,An uncle is asked to take care of his teenage nephew after the boy's father dies.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxMjk0NDg4Ml5BMl5BanBnXkFtZTgwODcyNjA5OTE@._V1_SX300.jpg,Amazon Studios,R,16 Dec 2016,True,137 min,Manchester by the Sea,movie,http://manchesterbytheseathemovie.com/,Kenneth Lonergan,2016,tt4034228,8.1,"73,738",certified,225
9,"Auli'i Cravalho, Dwayne Johnson, Rachel House, Temuera Morrison",Nominated for 2 Oscars. Another 10 wins & 65 nominations.,"$240,170,441.00",USA,N/A,"Ron Clements, Don Hall, John Musker, Chris Williams","Animation, Adventure, Comedy",English,81,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the Demigod to set things right.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4MzU5NTExNF5BMl5BanBnXkFtZTgwNzY1MTEwMDI@._V1_SX300.jpg,Walt Disney Pictures,PG,23 Nov 2016,True,107 min,Moana,movie,http://movies.disney.com/moana,"Jared Bush (screenplay), Ron Clements (story by), John Musker (story by), Chris Williams (story by), Don Hall (story by), Pamela Ribon (story by), Aaron Kandell (story by), Jordan Kandell (story by)",2016,tt3521164,7.8,"65,758",certified,215
