,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,tomatoImage,tomatoReviews
0,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy",Won 4 Oscars. Another 144 wins & 198 nominations.,"$292,568,851.00","USA, UK",07 Dec 2010,Christopher Nolan,"Action, Adventure, Sci-Fi","English, Japanese, French",74,"A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,16 Jul 2010,True,148 min,Inception,movie,http://inceptionmovie.warnerbros.com/,Christopher Nolan,2010,tt1375666,8.8,"1,543,084",certified,331
1,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow",8 wins & 59 nominations.,"$125,001,000.00",USA,08 Jun 2010,Martin Scorsese,"Mystery, Thriller","English, German",63,"In 1954, a U.S. marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxMTIyNzMxMV5BMl5BanBnXkFtZTcwOTc4OTI3Mg@@._V1_SX300.jpg,Paramount Studios,R,19 Feb 2010,True,138 min,Shutter Island,movie,http://www.shutterisland.com/,"Laeta Kalogridis (screenplay), Dennis Lehane (novel)",2010,tt1130884,8.1,"832,787",fresh,241
2,"Mandy Moore, Zachary Levi, Donna Murphy, Ron Perlman",Nominated for 1 Oscar. Another 9 wins & 39 nominations.,"$200,803,309.00",USA,29 Mar 2011,"Nathan Greno, Byron Howard","Animation, Adventure, Comedy",English,71,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTAxNDYxMjg0MjNeQTJeQWpwZ15BbWU3MDcyNTk2OTM@._V1_SX300.jpg,Walt Disney Pictures,PG,24 Nov 2010,True,100 min,Tangled,movie,http://Disney.com/Tangled,"Dan Fogelman (screenplay), Jacob Grimm (based upon the fairy tale ""Rapunzel"" by), Wilhelm Grimm (based upon the fairy tale ""Rapunzel"" by)",2010,tt0398286,7.8,"308,934",certified,216
3,"Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey",Won 1 Oscar. Another 90 wins & 245 nominations.,"$106,952,327.00",USA,29 Mar 2011,Darren Aronofsky,"Drama, Thriller","English, French, Italian",79,"A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_SX300.jpg,Fox Searchlight,R,17 Dec 2010,True,108 min,Black Swan,movie,http://www.BlackSwan2010.com/,"Mark Heyman (screenplay), Andres Heinz (screenplay), John J. McLaughlin (screenplay), Andres Heinz (story)",2010,tt0947798,8.0,"570,391",certified,275
4,"Jeff Bridges, Hailee Steinfeld, Matt Damon, Josh Brolin",Nominated for 10 Oscars. Another 37 wins & 148 nominations.,"$171,031,347.00",USA,07 Jun 2011,"Ethan Coen, Joel Coen","Adventure, Drama, Western",English,80,A tough U.S. Marshal helps a stubborn teenager track down her father's murderer.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxNjAzODQ0N15BMl5BanBnXkFtZTcwODY2MjMyNA@@._V1_SX300.jpg,Paramount Pictures,PG-13,22 Dec 2010,True,110 min,True Grit,movie,http://www.truegritmovie.com/,"Joel Coen (screenplay), Ethan Coen (screenplay), Charles Portis (novel)",2010,tt1403865,7.7,"250,491",certified,262
5,"Michael Cera, Alison Pill, Mark Webber, Johnny Simmons",17 wins & 58 nominations.,"$31,494,270.00","USA, UK, Canada, Japan",09 Nov 2010,Edgar Wright,"Action, Comedy, Fantasy",English,69,Scott Pilgrim must defeat his new girlfriend's seven evil exes in order to win her heart.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwNTczNTMyOF5BMl5BanBnXkFtZTcwNzUxOTUyMw@@._V1_SX300.jpg,Universal Pictures,PG-13,13 Aug 2010,True,112 min,Scott Pilgrim vs. the World,movie,http://www.scottpilgrimthemovie.com,"Michael Bacall (screenplay), Edgar Wright (screenplay), Bryan Lee O'Malley (Oni Press graphic novels)",2010,tt0446029,7.5,"286,011",certified,247
6,"Aaron Taylor-Johnson, Garrett M. Brown, Evan Peters, Deborah Twiss",17 wins & 61 nominations.,"$20,000,000.00","UK, USA",03 Aug 2010,Matthew Vaughn,"Action, Comedy",English,66,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzNzEzMDYxM15BMl5BanBnXkFtZTcwMTc0NTMxMw@@._V1_SX300.jpg,Lionsgate,R,16 Apr 2010,True,117 min,Kick-Ass,movie,http://kickass-themovie.com/,"Jane Goldman (screenplay), Matthew Vaughn (screenplay), Mark Millar (comic book), John Romita Jr. (comic book)",2010,tt1250777,7.7,"450,734",certified,245
7,"Emma Stone, Penn Badgley, Amanda Bynes, Dan Byrd",Nominated for 1 Golden Globe. Another 9 wins & 19 nominations.,"$58,401,464.00",USA,21 Dec 2010,Will Gluck,"Comedy, Drama, Romance",English,72,A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1MzU1Mjg1OF5BMl5BanBnXkFtZTcwNDc3NDQ2Mw@@._V1_SX300.jpg,Sony Pictures/Screen Gems,PG-13,17 Sep 2010,True,92 min,Easy A,movie,http://www.letsnotandsaywedid.com/,Bert V. Royal,2010,tt1282140,7.1,"289,281",certified,182
8,"Jesse Eisenberg, Rooney Mara, Bryan Barter, Dustin Fitzsimons",Won 3 Oscars. Another 161 wins & 162 nominations.,"$96,400,000.00",USA,11 Jan 2011,David Fincher,"Biography, Drama","English, French",95,"Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM2ODk0NDAwMF5BMl5BanBnXkFtZTcwNTM1MDc2Mw@@._V1_SX300.jpg,Columbia Pictures,PG-13,01 Oct 2010,True,120 min,The Social Network,movie,http://www.thesocialnetwork-movie.com/,"Aaron Sorkin (screenplay), Ben Mezrich (book)",2010,tt1285016,7.7,"501,390",certified,290
9,"Noah Ringer, Dev Patel, Nicola Peltz, Jackson Rathbone",8 wins & 12 nominations.,"$131,564,731.00",USA,16 Nov 2010,M. Night Shyamalan,"Action, Adventure, Family",English,20,"Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM1NjE0NDA0MV5BMl5BanBnXkFtZTcwODE4NDg1Mw@@._V1_SX300.jpg,Paramount Pictures,PG,01 Jul 2010,True,103 min,The Last Airbender,movie,http://www.TheLastAirbenderMovie.com/,M. Night Shyamalan,2010,tt0938283,4.2,"122,405",rotten,183
