,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,tomatoImage,tomatoReviews
0,"Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth",Won 1 Oscar. Another 124 wins & 153 nominations.,"$120,523,073.00","USA, Germany",15 Dec 2009,"Quentin Tarantino, Eli Roth","Adventure, Drama, War","English, German, French, Italian",69,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTJiNDEzOWYtMTVjOC00ZjlmLWE0NGMtZmE1OWVmZDQ2OWJhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,The Weinstein Company,R,21 Aug 2009,True,153 min,Inglourious Basterds,movie,http://www.inglouriousbasterds-movie.com/,Quentin Tarantino,2009,tt0361748,8.3,"931,116",certified,306
1,"Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang",Won 3 Oscars. Another 81 wins & 121 nominations.,"$749,700,000.00","USA, UK",22 Apr 2010,James Cameron,"Action, Adventure, Fantasy","English, Spanish",83,A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_SX300.jpg,20th Century Fox,PG-13,18 Dec 2009,True,162 min,Avatar,movie,http://www.avatarmovie.com/,James Cameron,2009,tt0499549,7.8,"918,289",certified,293
2,"Hugh Jackman, Liev Schreiber, Danny Huston, Will.i.am",3 wins & 18 nominations.,"$179,737,340.00","USA, UK",15 Sep 2009,Gavin Hood,"Action, Adventure, Sci-Fi",English,40,"A look at Wolverine's early life, in particular his time with the government squad Team X and the impact it will have on his later years.",https://images-na.ssl-images-amazon.com/images/M/MV5BZWRhMzdhMzEtZTViNy00YWYyLTgxZmUtMTMwMWM0NTEyMjk3XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg,20th Century Fox,PG-13,01 May 2009,True,107 min,X-Men Origins: Wolverine,movie,http://www.x-menorigins.com/,"David Benioff (screenplay), Skip Woods (screenplay)",2009,tt0458525,6.7,"377,780",rotten,253
3,"Malin Akerman, Billy Crudup, Matthew Goode, Jackie Earle Haley",12 wins & 21 nominations.,"$107,453,620.00",USA,21 Jul 2009,Zack Snyder,"Action, Drama, Mystery",English,56,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0NjI2OTYxMF5BMl5BanBnXkFtZTcwMTcxMjkyMg@@._V1_SX300.jpg,Warner Bros. Pictures,R,06 Mar 2009,True,162 min,Watchmen,movie,http://www.watchmenmovie.com/,"David Hayter (screenplay), Alex Tse (screenplay), Dave Gibbons (graphic novel illustrator)",2009,tt0409459,7.6,"404,767",fresh,295
4,"Justin Chatwin, Yun-Fat Chow, Emmy Rossum, Jamie Chung",1 nomination.,"$9,353,573.00","USA, Hong Kong, UK",28 Jul 2009,James Wong,"Action, Adventure, Fantasy","English, Japanese, Hindi",45,"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzNDM0ODQxMF5BMl5BanBnXkFtZTcwOTMyMzMzMg@@._V1_SX300.jpg,20th Century Fox,PG,10 Apr 2009,True,85 min,Dragonball: Evolution,movie,http://dbthemovie.com,"Ben Ramsey (screenplay), Akira Toriyama (novel)",2009,tt1098327,2.7,"58,573",rotten,58
5,"Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha",Won 1 Golden Globe. Another 10 wins & 25 nominations.,"$277,313,371.00","USA, Germany",15 Dec 2009,Todd Phillips,Comedy,English,73,"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU1MDA1MTYwMF5BMl5BanBnXkFtZTcwMDcxMzA1Mg@@._V1_SX300.jpg,Warner Bros. Pictures,R,05 Jun 2009,True,100 min,The Hangover,movie,http://hangovermovie.warnerbros.com/,"Jon Lucas, Scott Moore",2009,tt1119646,7.8,"603,059",certified,227
6,"Chris Pine, Zachary Quinto, Leonard Nimoy, Eric Bana",Won 1 Oscar. Another 23 wins & 86 nominations.,"$257,704,099.00","USA, Germany",17 Nov 2009,J.J. Abrams,"Action, Adventure, Sci-Fi",English,82,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5NDQ5OTE4Ml5BMl5BanBnXkFtZTcwOTE3NDIzMw@@._V1_SX300.jpg,IMAX,PG-13,08 May 2009,True,127 min,Star Trek,movie,http://www.startrekmovie.com/,"Roberto Orci, Alex Kurtzman, Gene Roddenberry (television series ""Star Trek"")",2009,tt0796366,8.0,"521,300",certified,333
7,"Sandra Bullock, Tim McGraw, Quinton Aaron, Jae Head",Won 1 Oscar. Another 7 wins & 30 nominations.,"$255,900,000.00",USA,23 Mar 2010,John Lee Hancock,"Biography, Drama, Sport",English,53,"The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzOTE3ODM3OF5BMl5BanBnXkFtZTcwMzYyODI4Mg@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,20 Nov 2009,True,129 min,The Blind Side,movie,http://www.TheBlindSideMovie.com,"John Lee Hancock, Michael Lewis (book)",2009,tt0878804,7.7,"233,256",fresh,197
8,"Mark Wahlberg, Rachel Weisz, Susan Sarandon, Stanley Tucci",Nominated for 1 Oscar. Another 10 wins & 43 nominations.,"$43,982,842.00","USA, UK, New Zealand",20 Apr 2010,Peter Jackson,"Drama, Fantasy, Thriller",English,42,Centers on a young girl who has been murdered and watches over her family - and her killer - from purgatory. She must weigh her desire for vengeance against her desire for her family to heal.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwNDA1MTM2MF5BMl5BanBnXkFtZTcwMzg3NDcwMw@@._V1_SX300.jpg,Paramount Pictures,PG-13,15 Jan 2010,True,135 min,The Lovely Bones,movie,http://www.lovelybones.com/,"Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Alice Sebold (novel)",2009,tt0380510,6.7,"128,629",rotten,233
9,"Daniel Radcliffe, Michael Gambon, Dave Legeno, Elarica Johnson",Nominated for 1 Oscar. Another 8 wins & 33 nominations.,"$301,920,409.00","UK, USA",08 Dec 2009,David Yates,"Adventure, Family, Fantasy",English,78,"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_SX300.jpg,Warner Bros. Pictures,PG,15 Jul 2009,True,153 min,Harry Potter and the Half-Blood Prince,movie,http://www.harrypotter.com/,"Steve Kloves (screenplay), J.K. Rowling (novel)",2009,tt0417741,7.5,"344,015",certified,268
