,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,tomatoImage,tomatoReviews
0,"Jonah Hill, Michael Cera, Christopher Mintz-Plasse, Bill Hader",10 wins & 24 nominations.,"$121,463,226.00",USA,04 Dec 2007,Greg Mottola,Comedy,English,76,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0NjIyMjA2OF5BMl5BanBnXkFtZTcwMzIxNDE1MQ@@._V1_SX300.jpg,Sony Pictures/Columbia,R,17 Aug 2007,True,113 min,Superbad,movie,http://www.sonypictures.com/movies/superbad/,"Seth Rogen, Evan Goldberg",2007,tt0829482,7.6,"435,318",certified,203
1,"Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson",Won 4 Oscars. Another 155 wins & 131 nominations.,"$74,223,625.00",USA,07 Apr 2009,"Ethan Coen, Joel Coen","Crime, Drama, Thriller","English, Spanish",91,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_SX300.jpg,Miramax Films,R,21 Nov 2007,True,122 min,No Country for Old Men,movie,http://www.nocountryforoldmen-themovie.com,"Joel Coen (screenplay), Ethan Coen (screenplay), Cormac McCarthy (novel)",2007,tt0477348,8.1,"646,903",certified,270
2,"Simon Pegg, Martin Freeman, Bill Nighy, Robert Popper",2 wins & 8 nominations.,"$23,618,786.00","UK, France, USA",31 Jul 2007,Edgar Wright,"Action, Comedy, Mystery",English,81,"Exceptional London cop Nicholas Angel is involuntarily transferred to a quaint English village and paired with a witless new partner. While on the beat, Nicholas suspects a sinister conspiracy is afoot with the residents.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxODg2NDU1MF5BMl5BanBnXkFtZTcwOTc3MDM0MQ@@._V1_SX300.jpg,Rogue Pictures/Focus Features,R,20 Apr 2007,True,116 min,Hot Fuzz,movie,http://www.hotfuzz.com/,"Edgar Wright, Simon Pegg",2007,tt0425112,7.9,"364,682",certified,199
3,"Daniel Day-Lewis, Martin Stringer, Matthew Braden Stringer, Jacob Stringer",Won 2 Oscars. Another 105 wins & 133 nominations.,"$40,133,435.00",USA,08 Apr 2008,Paul Thomas Anderson,"Drama, History","English, American Sign Language",92,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjAxODQ4MDU5NV5BMl5BanBnXkFtZTcwMDU4MjU1MQ@@._V1_SX300.jpg,Paramount Vantage,R,25 Jan 2008,True,158 min,There Will Be Blood,movie,http://www.therewillbeblood.com,"Paul Thomas Anderson (screenplay), Upton Sinclair (novel)",2007,tt0469494,8.1,"390,813",certified,216
4,"Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone",Nominated for 2 Oscars. Another 23 wins & 99 nominations.,"$18,173,360.00",USA,04 Mar 2008,Sean Penn,"Adventure, Biography, Drama","English, Danish",73,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTAwNDEyODU1MjheQTJeQWpwZ15BbWU2MDc3NDQwNw@@._V1_SX300.jpg,Paramount Vantage,R,19 Oct 2007,True,148 min,Into the Wild,movie,http://www.intothewild.com/,"Sean Penn (screenplay), Jon Krakauer (book)",2007,tt0758758,8.2,"448,926",certified,193
5,"Kurt Russell, Zoë Bell, Rosario Dawson, Vanessa Ferlito",6 nominations.,N/A,USA,17 Sep 2007,Quentin Tarantino,Thriller,English,N/A,"Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his ""death proof"" cars to execute his murderous plans.",https://images-na.ssl-images-amazon.com/images/M/MV5BYTdmZmY3Y2QtNjU5NC00OGUxLTg3MWQtMmE2ODM5Mzg3MzcyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,The Weinstein Co./Dimension,NOT RATED,31 May 2007,True,113 min,Death Proof,movie,http://www.grindhousemovie.net/,Quentin Tarantino,2007,tt1028528,7.1,"215,685",fresh,39
6,"Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson",Nominated for 3 Oscars. Another 19 wins & 40 nominations.,"$319,014,499.00",USA,16 Oct 2007,Michael Bay,"Action, Adventure, Sci-Fi","English, Spanish",61,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDg1NTU2OWEtM2UzYi00ZWRmLWEwMTktZWNjYWQ1NWM1OThjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Dreamworks,PG-13,03 Jul 2007,True,144 min,Transformers,movie,http://www.transformersmovie.com/,"Roberto Orci (screenplay), Alex Kurtzman (screenplay), John Rogers (story), Roberto Orci (story), Alex Kurtzman (story)",2007,tt0418279,7.1,"525,815",rotten,220
7,"Saoirse Ronan, Ailidh Mackay, Brenda Blethyn, Julia West",Won 1 Oscar. Another 49 wins & 145 nominations.,"$50,830,581.00","UK, France, USA",18 Mar 2008,Joe Wright,"Drama, Mystery, Romance","English, French",85,"Fledgling writer Briony Tallis, as a thirteen-year-old, irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM0ODc2Mzg1Nl5BMl5BanBnXkFtZTcwMTg4MDU1MQ@@._V1_SX300.jpg,Focus Features,R,11 Jan 2008,True,123 min,Atonement,movie,http://www.filminfocus.com/atonement,"Ian McEwan (novel), Christopher Hampton (screenplay)",2007,tt0783233,7.8,"198,995",certified,209
8,"Casey Affleck, Michelle Monaghan, Morgan Freeman, Ed Harris",Nominated for 1 Oscar. Another 34 wins & 28 nominations.,"$20,300,218.00",USA,13 Feb 2008,Ben Affleck,"Crime, Drama, Mystery",English,72,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDFlMzhjZDQtNmRiYi00YTgxLTllNDktOWM5YTk1ZGE5MmY3L2ltYWdlXkEyXkFqcGdeQXVyNDQzMDg4Nzk@._V1_SX300.jpg,Miramax,R,19 Oct 2007,True,114 min,Gone Baby Gone,movie,http://gonebabygone-themovie.com,"Ben Affleck (screenplay), Aaron Stockard (screenplay), Dennis Lehane (novel)",2007,tt0452623,7.7,"201,447",certified,174
9,"Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley",Nominated for 2 Oscars. Another 20 wins & 41 nominations.,"$309,404,152.00",USA,04 Dec 2007,Gore Verbinski,"Action, Adventure, Fantasy",English,50,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyNjkxNzEyMl5BMl5BanBnXkFtZTYwMjc3MDE3._V1_SX300.jpg,Buena Vista,PG-13,25 May 2007,True,169 min,Pirates of the Caribbean: At World's End,movie,http://disney.go.com/disneypictures/pirates/atworldsend/,"Ted Elliott, Terry Rossio, Ted Elliott (characters), Terry Rossio (characters), Stuart Beattie (characters), Jay Wolpert (characters)",2007,tt0449088,7.1,"490,515",rotten,219
