,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,tomatoImage,tomatoReviews,totalSeasons
0,"Georgie Henley, Skandar Keynes, William Moseley, Anna Popplewell",Won 1 Oscar. Another 14 wins & 44 nominations.,"$291,685,219.00","USA, UK",04 Apr 2006,Andrew Adamson,"Adventure, Family, Fantasy","English, German",75,Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc0NTUwMTU5OV5BMl5BanBnXkFtZTcwNjAwNzQzMw@@._V1_SX300.jpg,Buena Vista,PG,09 Dec 2005,True,143 min,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",movie,http://www.narnia.com/,"Ann Peacock (screenplay), Andrew Adamson (screenplay), Christopher Markus (screenplay), Stephen McFeely (screenplay), C.S. Lewis (book)",2005,tt0363771,6.9,"298,623",certified,211,
1,"Naomi Watts, Jack Black, Adrien Brody, Thomas Kretschmann",Won 3 Oscars. Another 39 wins & 92 nominations.,"$218,100,000.00","New Zealand, USA, Germany",28 Mar 2006,Peter Jackson,"Action, Adventure, Drama",English,81,"After a movie crew travel to a mysterious island to shoot their picture, they encounter a giant and furious gorilla who takes their leading actress and form a special relationship with her, protecting the beautiful lady at all costs.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjYxYmRlZWYtMzAwNC00MDA1LWJjNTItOTBjMzlhNGMzYzk3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Universal Pictures,PG-13,14 Dec 2005,True,187 min,King Kong,movie,http://www.kingkongmovie.com/,"Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Merian C. Cooper (based on a story by), Edgar Wallace (based on a story by)",2005,tt0360717,7.2,"325,147",certified,258,
2,"Eric Sykes, Timothy Spall, David Tennant, Daniel Radcliffe",Nominated for 1 Oscar. Another 13 wins & 41 nominations.,"$289,994,397.00","UK, USA",07 Mar 2006,Mike Newell,"Adventure, Family, Fantasy","English, French",81,Harry finds himself mysteriously selected as an under-aged competitor in a dangerous tournament between three schools of magic.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTI1NDMyMjExOF5BMl5BanBnXkFtZTcwOTc4MjQzMQ@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,18 Nov 2005,True,157 min,Harry Potter and the Goblet of Fire,movie,http://harrypotter.warnerbros.com/gobletoffire/,"Steve Kloves (screenplay), J.K. Rowling (novel)",2005,tt0330373,7.7,"409,351",certified,246,
3,"Christian Bale, Michael Caine, Liam Neeson, Katie Holmes",Nominated for 1 Oscar. Another 14 wins & 66 nominations.,"$204,100,000.00","USA, UK",18 Oct 2005,Christopher Nolan,"Action, Adventure","English, Urdu, Mandarin",70,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from the corruption that Scarecrow and the League of Shadows have cast upon it.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTM3OTc0MzM2OV5BMl5BanBnXkFtZTYwNzUwMTI3._V1_SX300.jpg,Warner Bros. Pictures,PG-13,15 Jun 2005,True,140 min,Batman Begins,movie,http://www.batmanbegins.com/,"Bob Kane (characters), David S. Goyer (story), Christopher Nolan (screenplay), David S. Goyer (screenplay)",2005,tt0372784,8.3,"1,025,661",certified,268,
4,"Heath Ledger, Jake Gyllenhaal, Randy Quaid, Valerie Planche",Won 3 Oscars. Another 132 wins & 122 nominations.,"$82,970,165.00","USA, Canada",04 Apr 2006,Ang Lee,"Drama, Romance","English, Spanish",87,"The story of a forbidden and secretive relationship between two cowboys, and their lives over the years.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY5NTAzNTc1NF5BMl5BanBnXkFtZTYwNDY4MDc3._V1_SX300.jpg,Focus Features,R,13 Jan 2006,True,134 min,Brokeback Mountain,movie,http://www.brokebackmountain.com/splash.html,"Annie Proulx (short story), Larry McMurtry (screenplay), Diana Ossana (screenplay)",2005,tt0388795,7.7,"268,256",certified,235,
5,"Ben Schnetzer, Abram Rooney, Jim McManus, George MacKay",Nominated for 1 Golden Globe. Another 8 wins & 16 nominations.,N/A,"UK, France",23 Dec 2014,Matthew Warchus,"Biography, Comedy, Drama","English, Welsh",79,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2OTcyOTE3MF5BMl5BanBnXkFtZTgwNTg5Mjc1MjE@._V1_SX300.jpg,CBS Films,R,12 Sep 2014,True,119 min,Pride,movie,http://www.cbsfilms.com/pride/,Stephen Beresford (screenplay),2014,tt3169706,7.8,"38,780",certified,129,
6,"Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry",7 wins & 27 nominations.,"$70,500,000.00","USA, UK, Germany",01 Aug 2006,James McTeigue,"Action, Drama, Thriller",English,62,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",https://images-na.ssl-images-amazon.com/images/M/MV5BOTI5ODc3NzExNV5BMl5BanBnXkFtZTcwNzYxNzQzMw@@._V1_SX300.jpg,Warner Bros. Pictures,R,17 Mar 2006,True,132 min,V for Vendetta,movie,http://vforvendetta.warnerbros.com/,"Lilly Wachowski (screenplay), Lana Wachowski (screenplay), David Lloyd (graphic novel art)",2005,tt0434409,8.2,"827,588",certified,238,
7,"Joaquin Phoenix, Reese Witherspoon, Ginnifer Goodwin, Robert Patrick",Won 1 Oscar. Another 44 wins & 43 nominations.,"$119,317,827.00","USA, Germany",28 Feb 2006,James Mangold,"Biography, Drama, Music","English, Russian",72,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIyOTU3MjUxOF5BMl5BanBnXkFtZTcwMTQ0NjYzMw@@._V1_SX300.jpg,20th Century Fox,PG-13,18 Nov 2005,True,136 min,Walk the Line,movie,http://www.walkthelinethemovie.com/,"Johnny Cash (book), Johnny Cash (book), Gill Dennis, James Mangold",2005,tt0358273,7.9,"192,855",certified,204,
8,"Johnny Depp, Freddie Highmore, David Kelly, Helena Bonham Carter",Nominated for 1 Oscar. Another 15 wins & 46 nominations.,"$206,100,000.00","USA, UK, Australia",07 Nov 2005,Tim Burton,"Adventure, Comedy, Family",English,72,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",https://images-na.ssl-images-amazon.com/images/M/MV5BNjcxMjg1Njg2NF5BMl5BanBnXkFtZTcwMjQ4NzMzMw@@._V1_SX300.jpg,Warner Bros. Pictures,PG,15 Jul 2005,True,115 min,Charlie and the Chocolate Factory,movie,http://chocolatefactorymovie.warnerbros.com/,"Roald Dahl (book), John August (screenplay)",2005,tt0367594,6.7,"335,168",certified,221,
9,"Jessica Alba, Devon Aoki, Alexis Bledel, Powers Boothe",31 wins & 47 nominations.,N/A,USA,16 Aug 2005,"Frank Miller, Robert Rodriguez, Quentin Tarantino","Crime, Thriller",English,74,"A film that explores the dark and miserable town, Basin City, and tells the story of three different people, all caught up in violent corruption.",https://images-na.ssl-images-amazon.com/images/M/MV5BODZmYjMwNzEtNzVhNC00ZTRmLTk2M2UtNzE1MTQ2ZDAxNjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Dimension Films,R,01 Apr 2005,True,124 min,Sin City,movie,http://www.sincitythemovie.com/,Frank Miller (graphic novels),2005,tt0401792,8.0,"676,253",certified,245,
