,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,tomatoImage,tomatoReviews
0,"Dakota Johnson, Jamie Dornan, Jennifer Ehle, Eloise Mumford",Nominated for 1 Oscar. Another 9 wins & 23 nominations.,"$189,859,585.00",USA,08 May 2015,Sam Taylor-Johnson,"Drama, Romance, Thriller",English,46,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1MTM4NDAzOF5BMl5BanBnXkFtZTgwNTMwNjI0MzE@._V1_SX300.jpg,Focus Features,R,13 Feb 2015,True,125 min,Fifty Shades of Grey,movie,http://www.fiftyshadesmovie.com/,"Kelly Marcel (screenplay), E.L. James (novel)",2015,tt2322441,4.1,"235,182",rotten,243
1,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins",Won 1 Oscar. Another 35 wins & 107 nominations.,"$54,116,191.00",USA,29 Mar 2016,Quentin Tarantino,"Crime, Drama, Mystery","English, Spanish, French",68,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MTc1NTg5NV5BMl5BanBnXkFtZTgwOTM2MDEzNzE@._V1_SX300.jpg,The Weinstein Company,R,30 Dec 2015,True,187 min,The Hateful Eight,movie,http://thehatefuleight.com/,Quentin Tarantino,2015,tt3460252,7.8,"326,237",certified,279
2,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne",Won 6 Oscars. Another 216 wins & 196 nominations.,"$129,483,877.00","Australia, USA",01 Sep 2015,George Miller,"Action, Adventure, Sci-Fi","English, Russian",90,"A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMTE0ODcxNF5BMl5BanBnXkFtZTgwODE4NDQzNTE@._V1_SX300.jpg,Warner Bros.,R,15 May 2015,True,120 min,Mad Max: Fury Road,movie,http://www.madmaxmovie.com/,"George Miller, Brendan McCarthy, Nick Lathouris",2015,tt1392190,8.1,"605,627",certified,357
3,"J.J. Abrams, John Boyega, Adam Driver, Carrie Fisher",N/A,N/A,USA,N/A,N/A,"Documentary, Short",English,N/A,N/A,N/A,N/A,N/A,05 Apr 2016,True,4 min,Star Wars: Episode VII - The Force Awakens: The Story Awakens - The Table Read,movie,N/A,N/A,2016,tt5613052,7.1,37,N/A,N/A
4,"Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter",Won 3 Oscars. Another 79 wins & 172 nominations.,N/A,"USA, Hong Kong, Taiwan",19 Apr 2016,Alejandro G. Iñárritu,"Adventure, Drama, Thriller","English, Pawnee, French",76,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,https://images-na.ssl-images-amazon.com/images/M/MV5BY2FmODc2N2QtYmY3MS00YTMwLWI2NGYtZWRmYWVkNjFjZmI0XkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_SX300.jpg,20th Century Fox,R,08 Jan 2016,True,156 min,The Revenant,movie,http://www.foxmovies.com/movies/the-revenant,"Mark L. Smith (screenplay), Alejandro G. Iñárritu (screenplay), Michael Punke (based in part on the novel by)",2015,tt1663202,8.0,"478,908",certified,323
5,"Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson",Won 1 Oscar. Another 102 wins & 132 nominations.,"$14,677,654.00","Ireland, Canada, UK, USA",01 Mar 2016,Lenny Abrahamson,Drama,English,86,A young boy is raised within the confines of a small shed.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4NzgzNzEwMl5BMl5BanBnXkFtZTgwMTMzMDE0NjE@._V1_SX300.jpg,Element Pictures,R,22 Jan 2016,True,118 min,Room,movie,http://www.lahabitacion.com.ar/,"Emma Donoghue (screenplay), Emma Donoghue (novel)",2015,tt3170832,8.2,"208,261",certified,263
6,"Matt Damon, Jessica Chastain, Kristen Wiig, Jeff Daniels",Nominated for 7 Oscars. Another 34 wins & 180 nominations.,"$202,313,768.00","USA, UK",12 Jan 2016,Ridley Scott,"Adventure, Drama, Sci-Fi","English, Mandarin",80,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTc2MTQ3MDA1Nl5BMl5BanBnXkFtZTgwODA3OTI4NjE@._V1_SX300.jpg,20th Century Fox,PG-13,02 Oct 2015,True,144 min,The Martian,movie,http://TheMartianMovie.com,"Drew Goddard (screenplay), Andy Weir (book)",2015,tt3659388,8.0,"534,183",certified,312
7,"Jacqueline Abrahams, Roger Ashton-Griffiths, Jessica Barden, Olivia Colman",Nominated for 1 Oscar. Another 21 wins & 63 nominations.,"$9,078,073.00","Greece, Ireland, Netherlands, UK, France",02 Aug 2016,Yorgos Lanthimos,"Comedy, Drama, Romance","English, French",82,"In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDQ1NDE5NzQ1NF5BMl5BanBnXkFtZTgwNzA5OTM2NTE@._V1_SX300.jpg,A24 Films,R,16 Oct 2015,True,119 min,The Lobster,movie,http://www.lobsterfilm.co.uk/,"Yorgos Lanthimos, Efthymis Filippou",2015,tt3464902,7.1,"112,274",certified,202
8,"Ryan Gosling, Rudy Eisenzopf, Casey Groves, Charlie Talbert",Won 1 Oscar. Another 36 wins & 80 nominations.,N/A,USA,15 Mar 2016,Adam McKay,"Biography, Comedy, Drama",English,81,"Four denizens in the world of high-finance predict the credit and housing bubble collapse of the mid-2000s, and decide to take on the big banks for their greed and lack of foresight.",https://images-na.ssl-images-amazon.com/images/M/MV5BNDc4MThhN2EtZjMzNC00ZDJmLThiZTgtNThlY2UxZWMzNjdkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,Paramount Pictures,R,23 Dec 2015,True,130 min,The Big Short,movie,http://www.thebigshortmovie.com/,"Charles Randolph (screenplay), Adam McKay (screenplay), Michael Lewis (book)",2015,tt1596363,7.8,"231,535",certified,279
9,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio",6 wins & 53 nominations.,"$528,757,749.00",USA,20 Oct 2015,Colin Trevorrow,"Action, Adventure, Sci-Fi",English,59,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, which escapes containment and goes on a killing spree.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5MTE0MTk3Nl5BMl5BanBnXkFtZTgwMjczMzk2NTE@._V1_SX300.jpg,Universal Pictures,PG-13,12 Jun 2015,True,124 min,Jurassic World,movie,http://www.jurassicworldmovie.com/,"Rick Jaffa (screenplay), Amanda Silver (screenplay), Colin Trevorrow (screenplay), Derek Connolly (screenplay), Rick Jaffa (story), Amanda Silver (story), Michael Crichton (characters)",2015,tt0369610,7.0,"443,537",fresh,296
10,"Emily Blunt, Benicio Del Toro, Josh Brolin, Victor Garber",Nominated for 3 Oscars. Another 14 wins & 140 nominations.,N/A,USA,05 Jan 2016,Denis Villeneuve,"Action, Crime, Drama","English, Spanish",82,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5NjM3NTk1M15BMl5BanBnXkFtZTgwMzg1MzU2NjE@._V1_SX300.jpg,Lionsgate,R,02 Oct 2015,True,121 min,Sicario,movie,https://www.facebook.com/SicarioMovie,Taylor Sheridan,2015,tt3397884,7.6,"232,719",certified,233
11,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",5 wins & 42 nominations.,"$429,113,729.00",USA,02 Oct 2015,Joss Whedon,"Action, Adventure, Sci-Fi",English,66,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's Mightiest Heroes to stop the villainous Ultron from enacting his terrible plans.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_SX300.jpg,Walt Disney Pictures,PG-13,01 May 2015,True,141 min,Avengers: Age of Ultron,movie,http://marvel.com/avengers,"Joss Whedon, Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)",2015,tt2395427,7.4,"499,696",certified,310
13,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Mark Rylance, Domenick Lombardozzi, Victor Verhaeghe, Mark Fichera",Won 1 Oscar. Another 31 wins & 97 nominations.,N/A,"USA, Germany, India",02 Feb 2016,Steven Spielberg,"Drama, History, Thriller","English, German, Russian",81,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxOTI0MjU5NV5BMl5BanBnXkFtZTgwNzM4OTk4NTE@._V1_SX300.jpg,Dreamworks Pictures,PG-13,16 Oct 2015,True,142 min,Bridge of Spies,movie,http://bridgeofspies.com/,"Matt Charman, Ethan Coen, Joel Coen",2015,tt3682448,7.6,"209,695",certified,265
15,"Alicia Vikander, Eddie Redmayne, Tusse Silberg, Adrian Schiller",Won 1 Oscar. Another 26 wins & 74 nominations.,N/A,"UK, USA, Germany, Denmark, Belgium",01 Mar 2016,Tom Hooper,"Biography, Drama, Romance","English, French, German",66,A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0NjA4NjE2Nl5BMl5BanBnXkFtZTgwNzIxNTY2NjE@._V1_SX300.jpg,Focus Features,R,22 Jan 2016,True,119 min,The Danish Girl,movie,https://www.workingtitlefilms.com/films/view/film/124,"David Ebershoff (book), Lucinda Coxon (screenplay)",2015,tt0810819,7.0,"104,932",fresh,209
16,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes",Won 1 Oscar. Another 7 wins & 30 nominations.,"$208,777,731.00","UK, USA",09 Feb 2016,Sam Mendes,"Action, Adventure, Thriller","English, Spanish, Italian, German, French",60,"A cryptic message from Bond's past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjM2Nzg4MzkwOF5BMl5BanBnXkFtZTgwNzA0OTE3NjE@._V1_SX300.jpg,Sony Pictures,PG-13,06 Nov 2015,True,148 min,Spectre,movie,http://www.007.com/,"John Logan (screenplay), Neal Purvis (screenplay), Robert Wade (screenplay), Jez Butterworth (screenplay), John Logan (story), Neal Purvis (story), Robert Wade (story), Ian Fleming (characters)",2015,tt2379713,6.8,"301,698",fresh,311
17,"Cate Blanchett, Lily James, Richard Madden, Helena Bonham Carter",Nominated for 1 Oscar. Another 8 wins & 28 nominations.,"$183,327,144.00","USA, UK",15 Sep 2015,Kenneth Branagh,"Drama, Family, Fantasy",English,67,"When her father unexpectedly passes away, young Ella finds herself at the mercy of her cruel stepmother and her scheming step-sisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjMxODYyODEzN15BMl5BanBnXkFtZTgwMDk4OTU0MzE@._V1_SX300.jpg,Walt Disney Pictures,PG,13 Mar 2015,True,105 min,Cinderella,movie,http://movies.disney.com/cinderella/,Chris Weitz (screenplay),2015,tt1661199,7.0,"112,215",certified,211
18,"Mia Wasikowska, Jessica Chastain, Tom Hiddleston, Charlie Hunnam",6 wins & 33 nominations.,"$25,957,696.00","USA, Canada",09 Feb 2016,Guillermo del Toro,"Drama, Fantasy, Horror",English,66,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds - and remembers.",https://images-na.ssl-images-amazon.com/images/M/MV5BNTY2OTI5MjAyOV5BMl5BanBnXkFtZTgwNTkzMjQ0NDE@._V1_SX300.jpg,Universal Pictures,R,16 Oct 2015,True,119 min,Crimson Peak,movie,http://www.crimsonpeakmovie.com,"Guillermo del Toro, Matthew Robbins",2015,tt2554274,6.6,"92,757",fresh,220
