,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,tomatoImage,tomatoReviews
0,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine",Won 2 Oscars. Another 146 wins & 142 nominations.,"$533,316,061.00","USA, UK",09 Dec 2008,Christopher Nolan,"Action, Crime, Drama","English, Mandarin",82,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, the caped crusader must come to terms with one of the greatest psychological tests of his ability to fight injustice.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX300.jpg,Warner Bros. Pictures/Legendary,PG-13,18 Jul 2008,True,152 min,The Dark Knight,movie,http://thedarkknight.warnerbros.com/,"Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)",2008,tt0468569,9.0,"1,754,213",certified,317
1,"Kristen Stewart, Sarah Clarke, Matt Bushell, Billy Burke",28 wins & 16 nominations.,"$191,449,475.00",USA,21 Mar 2009,Catherine Hardwicke,"Drama, Fantasy, Romance",English,56,A teenage girl risks everything when she falls in love with a vampire.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2NzUxMTAxN15BMl5BanBnXkFtZTcwMzEyMTIwMg@@._V1_SX300.jpg,Summit Entertainment,PG-13,21 Nov 2008,True,122 min,Twilight,movie,http://twilightthemovie.com/,"Melissa Rosenberg (screenplay), Stephenie Meyer (novel)",2008,tt1099212,5.2,"356,164",rotten,206
2,"Dev Patel, Saurabh Shukla, Anil Kapoor, Rajendranath Zutshi",Won 8 Oscars. Another 143 wins & 120 nominations.,"$141,243,551.00","UK, France, USA",31 Mar 2009,"Danny Boyle, Loveleen Tandan",Drama,"English, Hindi, French",86,"A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of ""Who Wants to be a Millionaire?""",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU2NTA5NzI0N15BMl5BanBnXkFtZTcwMjUxMjYxMg@@._V1_SX300.jpg,Fox Searchlight Pictures,R,25 Dec 2008,True,120 min,Slumdog Millionaire,movie,http://www.foxsearchlight.com/slumdogmillionaire/,"Simon Beaufoy (screenplay), Vikas Swarup (novel)",2008,tt1010048,8.0,"665,175",certified,267
3,"Will Ferrell, John C. Reilly, Mary Steenburgen, Richard Jenkins",3 wins & 2 nominations.,"$100,468,793.00",USA,02 Dec 2008,Adam McKay,Comedy,"English, Spanish",51,Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents marry.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcwNzUzMjU1OV5BMl5BanBnXkFtZTcwMTM0NDQ2MQ@@._V1_SX300.jpg,Columbia Pictures,R,25 Jul 2008,True,98 min,Step Brothers,movie,http://www.sonypictures.com/movies/stepbrothers/index.html,"Will Ferrell (screenplay), Adam McKay (screenplay), Will Ferrell (story), Adam McKay (story), John C. Reilly (story)",2008,tt0838283,6.9,"219,303",rotten,180
4,"Cate Blanchett, Brad Pitt, Julia Ormond, Faune Chambers Watkins",Won 3 Oscars. Another 73 wins & 146 nominations.,"$127,490,802.00",USA,05 May 2009,David Fincher,"Drama, Fantasy, Romance","English, Russian, French",70,"Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",https://images-na.ssl-images-amazon.com/images/M/MV5BNjQ0NTY2ODY2M15BMl5BanBnXkFtZTgwMjE4MzkxMDE@._V1_SX300.jpg,Paramount,PG-13,25 Dec 2008,True,166 min,The Curious Case of Benjamin Button,movie,http://www.BenjaminButton.com/,"Eric Roth (screenplay), Eric Roth (story), Robin Swicord (story), F. Scott Fitzgerald (short story)",2008,tt0421715,7.8,"477,712",certified,238
5,"Robert Downey Jr., Terrence Howard, Jeff Bridges, Gwyneth Paltrow",Nominated for 2 Oscars. Another 19 wins & 61 nominations.,"$318,298,180.00",USA,30 Sep 2008,Jon Favreau,"Action, Adventure, Sci-Fi","English, Persian, Urdu, Arabic, Hungarian",79,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTczNTI2ODUwOF5BMl5BanBnXkFtZTcwMTU0NTIzMw@@._V1_SX300.jpg,Paramount Pictures,PG-13,02 May 2008,True,126 min,Iron Man,movie,http://www.ironmanmovie.com/,"Mark Fergus (screenplay), Hawk Ostby (screenplay), Art Marcum (screenplay), Matt Holloway (screenplay), Stan Lee (characters), Don Heck (characters), Larry Lieber (characters), Jack Kirby (characters)",2008,tt0371746,7.9,"723,653",certified,267
6,"Tom Hardy, Kelly Adams, Luing Andrews, Katy Barker",3 wins & 6 nominations.,"$100,000.00",UK,09 Feb 2010,Nicolas Winding Refn,"Action, Biography, Crime",English,71,"A young man who was sentenced to seven years in prison for robbing a post office ends up spending three decades in solitary confinement. During this time, his own personality is supplanted by his alter-ego, Charles Bronson.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTMxOTA2MjA3OV5BMl5BanBnXkFtZTcwODM4Nzc4Mg@@._V1_SX300.jpg,Magnolia Pictures,R,13 Mar 2009,True,92 min,Bronson,movie,http://www.magnetreleasing.com/bronson/,"Brock Norman Brock (screenplay), Nicolas Winding Refn (screenplay)",2008,tt1172570,7.1,"90,886",certified,79
7,"Liam Neeson, Maggie Grace, Leland Orser, Jon Gries",2 wins & 2 nominations.,"$144,924,285.00",France,12 May 2009,Pierre Morel,"Action, Thriller","English, French, Albanian, Arabic",50,"A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4NzQ0OTYyOF5BMl5BanBnXkFtZTcwMDkyNjQyMg@@._V1_SX300.jpg,20th Century Fox,PG-13,30 Jan 2009,True,93 min,Taken,movie,http://www.takenmovie.com/,"Luc Besson, Robert Mark Kamen",2008,tt0936501,7.8,"498,511",rotten,166
8,"Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce",Won 6 Oscars. Another 114 wins & 120 nominations.,"$15,700,000.00",USA,12 Jan 2010,Kathryn Bigelow,"Drama, History, Thriller","English, Arabic",94,"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzEwNzQ1NjczM15BMl5BanBnXkFtZTcwNTk3MTE1Mg@@._V1_SX300.jpg,Summit Entertainment,R,31 Jul 2009,True,131 min,The Hurt Locker,movie,http://www.thehurtlocker-movie.com/,Mark Boal,2008,tt0887912,7.6,"346,566",certified,256
9,"Gerard Butler, Tom Wilkinson, Thandie Newton, Mark Strong",1 win & 5 nominations.,"$5,665,302.00","UK, USA, France",27 Jan 2009,Guy Ritchie,"Action, Crime, Thriller","English, Russian",53,"In London, a real-estate scam puts millions of pounds up for grabs, attracting some of the city's scrappiest tough guys and its more established underworld types, all of whom are looking to get rich quick. While the city's seasoned criminals vie for the cash, an unexpected player -- a drugged-out rock 'n' roller presumed to be dead but very much alive -- has a multi-million-dollar prize fall into...",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0NTk5Mzk2OV5BMl5BanBnXkFtZTcwMDE3NTE4MQ@@._V1_SX300.jpg,Warner Bros. Pictures/Dark Castle,R,31 Oct 2008,True,114 min,RocknRolla,movie,http://rocknrolla.warnerbros.com/,Guy Ritchie,2008,tt1032755,7.3,"199,554",rotten,145
