,Actors,Awards,BoxOffice,Country,DVD,Director,Genre,Language,Metascore,Plot,Poster,Production,Rated,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,tomatoImage,tomatoReviews
0,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey",Nominated for 5 Oscars. Another 36 wins & 159 nominations.,"$91,330,760.00",USA,25 Mar 2014,Martin Scorsese,"Biography, Comedy, Crime","English, French",75,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_SX300.jpg,Paramount Studios,R,25 Dec 2013,True,180 min,The Wolf of Wall Street,movie,http://www.thewolfofwallstreet.com/,"Terence Winter (screenplay), Jordan Belfort (book)",2013,tt0993846,8.2,"836,745",certified,255
1,"Hugh Jackman, Tao Okamoto, Rila Fukushima, Hiroyuki Sanada",2 wins & 11 nominations.,"$132,550,960.00","USA, UK, Australia, Japan",03 Dec 2013,James Mangold,"Action, Adventure, Sci-Fi","English, Japanese",60,"When Wolverine is summoned to Japan by an old acquaintance, he is embroiled in a conflict that forces him to confront his own demons.",https://images-na.ssl-images-amazon.com/images/M/MV5BNzg1MDQxMTQ2OF5BMl5BanBnXkFtZTcwMTk3MjAzOQ@@._V1_SX300.jpg,20th Century Fox,PG-13,26 Jul 2013,True,126 min,The Wolverine,movie,http://www.thewolverinemovie.com/us/,"Mark Bomback (screenplay), Scott Frank (screenplay)",2013,tt1430132,6.7,"341,852",fresh,239
2,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello",Nominated for 1 Oscar. Another 10 wins & 35 nominations.,"$60,962,878.00",USA,17 Dec 2013,Denis Villeneuve,"Crime, Drama, Mystery",English,74,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts. But just how far will this desperate father go to protect his family?",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0NTIzMjQ1NV5BMl5BanBnXkFtZTcwNDc3MzM5OQ@@._V1_SX300.jpg,Warner Bros.,R,20 Sep 2013,True,153 min,Prisoners,movie,http://prisonersmovie.warnerbros.com/,Aaron Guzikowski,2013,tt1392214,8.1,"417,081",certified,231
3,"Charlie Hunnam, Diego Klattenhoff, Idris Elba, Rinko Kikuchi",Nominated for 1 BAFTA Film Award. Another 5 wins & 42 nominations.,"$101,785,482.00",USA,15 Oct 2013,Guillermo del Toro,"Action, Adventure, Sci-Fi","English, Japanese, Cantonese, Mandarin",64,"As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3MTI5NjQ4Nl5BMl5BanBnXkFtZTcwOTU1OTU0OQ@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,12 Jul 2013,True,131 min,Pacific Rim,movie,http://pacificrimmovie.com,"Travis Beacham (screenplay), Guillermo del Toro (screenplay), Travis Beacham (story)",2013,tt1663662,7.0,"392,925",fresh,264
4,"Lisa Adam, Frank Aldridge, Amitabh Bachchan, Steve Bisley",Won 2 Oscars. Another 45 wins & 77 nominations.,"$144,812,796.00","Australia, USA",27 Aug 2013,Baz Luhrmann,"Drama, Romance",English,55,"A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxNTk1ODcxNl5BMl5BanBnXkFtZTcwMDI1OTMzOQ@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,10 May 2013,True,143 min,The Great Gatsby,movie,http://thegreatgatsby.warnerbros.com/,"Baz Luhrmann (screenplay), Craig Pearce (screenplay), F. Scott Fitzgerald (based on the novel by)",2013,tt1343092,7.3,"380,366",rotten,264
5,"Kristen Bell, Idina Menzel, Jonathan Groff, Josh Gad",Won 2 Oscars. Another 72 wins & 57 nominations.,"$400,736,600.00",USA,18 Mar 2014,"Chris Buck, Jennifer Lee","Animation, Adventure, Comedy","English, Icelandic",74,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister, Anna, teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_SX300.jpg,Walt Disney Pictures,PG,27 Nov 2013,True,102 min,Frozen,movie,http://www.disney.com/frozen,"Jennifer Lee (screenplay), Hans Christian Andersen (story inspired by ""The Snow Queen"" by), Chris Buck (story by), Jennifer Lee (story by), Shane Morris (story by)",2013,tt2294629,7.5,"441,791",certified,223
6,"Joaquin Phoenix, Lynn Adrianna, Lisa Renee Pitts, Gabe Gomez",Won 1 Oscar. Another 79 wins & 175 nominations.,"$17,901,029.00",USA,13 May 2014,Spike Jonze,"Drama, Romance, Sci-Fi",English,90,A lonely writer develops an unlikely relationship with an operating system designed to meet his every need.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1Nzk0OTM2OF5BMl5BanBnXkFtZTgwNjU2NjEwMDE@._V1_SX300.jpg,Warner Bros. Pictures,R,10 Jan 2014,True,126 min,Her,movie,http://www.herthemovie.com/,Spike Jonze,2013,tt1798709,8.0,"379,459",certified,240
7,"Chiwetel Ejiofor, Dwight Henry, Dickie Gravois, Bryan Batt",Won 3 Oscars. Another 234 wins & 317 nominations.,"$50,628,650.00","USA, UK",04 Mar 2014,Steve McQueen,"Biography, Drama, History",English,96,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg,Fox Searchlight,R,08 Nov 2013,True,134 min,12 Years a Slave,movie,http://www.foxsearchlight.com/12yearsaslave/,"John Ridley (screenplay), Solomon Northup (based on ""Twelve Years a Slave"" by)",2013,tt2024544,8.1,"470,050",certified,304
8,"Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Isla Fisher",1 win & 3 nominations.,"$117,698,894.00","USA, France",03 Sep 2013,Louis Leterrier,"Crime, Mystery, Thriller","English, French",50,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0NDY3MDMxN15BMl5BanBnXkFtZTcwOTM5NzMzOQ@@._V1_SX300.jpg,Lionsgate Films,PG-13,31 May 2013,True,115 min,Now You See Me,movie,http://nowyouseememovie.com/,"Ed Solomon (screenplay), Boaz Yakin (screenplay), Edward Ricourt (screenplay), Boaz Yakin (story), Edward Ricourt (story)",2013,tt1670345,7.3,"483,146",rotten,152
9,"Matthew McConaughey, Jennifer Garner, Jared Leto, Denis O'Hare",Won 3 Oscars. Another 79 wins & 78 nominations.,"$23,750,994.00",USA,04 Feb 2014,Jean-Marc Vallée,"Biography, Drama","English, Japanese",84,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwMTA4MzgyNF5BMl5BanBnXkFtZTgwMjEyMjE0MDE@._V1_SX300.jpg,Focus Features,R,22 Nov 2013,True,117 min,Dallas Buyers Club,movie,http://www.focusfeatures.com/dallas_buyers_club,"Craig Borten, Melisa Wallack",2013,tt0790636,8.0,"342,797",certified,235
